Name,Gender,City,Age,Income,Risk Tolerance,Investment History,Financial Objective,Preferred Sector,Investment Frequency,Recommended Domain
RenÃ© Ã‰tienne,Women,Paris,30,73390.21,High,"Actions, Immobilier",Investir dans l'éducation,Technologie,Trimestriel,Cryptomonnaies
Madeleine Barthelemy,Man,Nantes,25,53376.12,High,"Startups, Cryptomonnaies, ETF, Obligations",Investir dans l'éducation,Santé,Trimestriel,Actions
Guillaume-Julien De Oliveira,Man,Strasbourg,41,38853.37,Medium,"Immobilier, Matières premières, Obligations",Achat immobilier,Agriculture,Trimestriel,Obligations
Michelle Bouvier Le GuÃ©rin,Women,Nantes,25,18113.8,Medium,"Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
William Marie,Women,Lyon,44,39439.23,Medium,"Cryptomonnaies, Obligations",éducation des enfants,Consommation,Trimestriel,Obligations
Thibault Cousin,Women,Paris,36,63897.75,High,"Obligations, Startups",Retraite,Technologie,Trimestriel,Actions
Jacques-Guillaume Lefebvre,Man,Marseille,49,46438.55,Medium,"Immobilier, ETF, Obligations",Retraite,Industrie,Trimestriel,Obligations
Bertrand Perez,Man,Toulouse,40,23374.31,Medium,"ETF, Fundraising, Immobilier",éducation des enfants,Agriculture,Trimestriel,Obligations
RenÃ©e ClÃ©ment,Women,Toulouse,33,36820.27,Medium,"Immobilier, Obligations",Investir dans l'éducation,Agriculture,Trimestriel,Obligations
Julie-Henriette Laporte,Man,Nantes,26,31901.5,Medium,"Cryptomonnaies, Actions",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Jean Lecomte,Women,Marseille,58,130784.02,High,"Immobilier, ETF, Obligations",Retraite,Finance,Mensuel,ETF
Roland Fontaine,Women,Toulouse,54,76115.15,Medium,"Cryptomonnaies, Immobilier",Retraite,Industrie,Trimestriel,Obligations
ValÃ©rie Dufour-Benoit,Women,Nantes,48,46198.42,Medium,"Cryptomonnaies, Actions",Retraite,Immobilier,Trimestriel,Immobilier
Thomas Peron,Man,Paris,64,85898.09,Medium,"Actions, ETF, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
GeneviÃ¨ve-Ã‰dith Paris,Man,Lyon,56,110162.68,High,"Cryptomonnaies, Fundraising, Obligations",Épargne de sécurité,Santé,Mensuel,ETF
Laure du Brunel,Women,Strasbourg,39,71214.78,High,"Cryptomonnaies, Fundraising, Immobilier",éducation des enfants,Santé,Trimestriel,Actions
Sophie-GeneviÃ¨ve Morvan,Man,Toulouse,70,50806.4,Low,"Fundraising, Startups",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Nathalie GrÃ©goire,Women,Paris,51,107730.66,High,"Investissement Socialement Responsable, Actions, ETF",Épargne de sécurité,Santé,Mensuel,Actions
Christophe Martins,Man,Paris,54,84757.14,Medium,"Cryptomonnaies, Actions",Retraite,Finance,Trimestriel,ETF
Victor Laroche,Man,Paris,37,46740.68,Medium,"MatiÃ¨res premiÃ¨res, Actions, Obligations",Retraite,Industrie,Trimestriel,Obligations
RÃ©my ClÃ©ment-Rossi,Man,Nice,39,57473.29,Medium,Actions,éducation des enfants,Immobilier,Trimestriel,Immobilier
Jean Pascal-Marin,Women,Strasbourg,49,36986.2,Medium,"Actions, ETF",éducation des enfants,Immobilier,Trimestriel,Immobilier
Nicole-HÃ©lÃ¨ne Bonnin,Women,Strasbourg,30,45703.08,High,"Actions, Immobilier",Voyages,Finance,Annuel,ETF
StÃ©phane Torres,Man,Toulouse,40,61719.43,Medium,ETF,Retraite,Immobilier,Trimestriel,Immobilier
Xavier Gauthier de la Foucher,Women,Paris,25,48316.9,High,"Startups, Cryptomonnaies, Actions, Immobilier",Voyages,Santé,Annuel,Actions
Antoine Baudry,Man,Paris,51,56550.15,Medium,"Immobilier, Actions, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Denis Guillou,Man,Bordeaux,63,62261.53,Medium,"Actions, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Olivier Perrot,Women,Paris,40,79640.99,High,"Cryptomonnaies, Fundraising, Immobilier",Retraite,Finance,Trimestriel,Actions
Roland Potier,Women,Marseille,47,55452.81,Medium,"Cryptomonnaies, ETF, Immobilier",éducation des enfants,Technologie,Trimestriel,Actions
Henri Millet,Man,Paris,32,47976.39,High,"Cryptomonnaies, ETF, Immobilier",Voyages,Technologie,Annuel,ETF
Jules Pineau,Women,Bordeaux,41,70497.71,High,"Immobilier, Cryptomonnaies, Investissement Socialement Responsable, Obligations",Retraite,Santé,Trimestriel,ETF
Thomas-GrÃ©goire Gallet,Women,Paris,49,104957.33,High,"Immobilier, ETF, Obligations",Achat immobilier,Finance,Mensuel,ETF
Joseph Marin,Man,Nice,25,49273.86,High,"Actions, Matières premières, ETF, Obligations",Investir dans l'éducation,Technologie,Annuel,ETF
Gabrielle Le Gall,Man,Lyon,43,49592.25,Medium,Fundraising,Retraite,Immobilier,Trimestriel,Immobilier
Ã‰mile Toussaint,Man,Paris,55,136358.46,High,"Cryptomonnaies, Matières premières, ETF",Épargne de sécurité,Finance,Mensuel,ETF
MichÃ¨le Blin du David,Man,Lyon,51,70825.7,Medium,"Actions, Obligations",Retraite,Santé,Trimestriel,ETF
Patricia Martinez,Women,Marseille,40,50484.12,Medium,"Cryptomonnaies, Obligations, Immobilier",Retraite,Agriculture,Trimestriel,Obligations
Lorraine de la Ferrand,Man,Paris,25,33919.54,High,"Cryptomonnaies, Actions",épargne de départ,Consommation,Annuel,Obligations
Zacharie Gilbert,Women,Paris,49,25672.71,Medium,"Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
SÃ©bastien Renault de Fournier,Man,Lille,29,37416.84,Medium,"Actions, Matières premières, Immobilier",épargne de départ,Industrie,Trimestriel,Obligations
CÃ©lina Gros-Valentin,Man,Lyon,28,53174.5,High,"Obligations, Actions, Fundraising",épargne de départ,Technologie,Trimestriel,ETF
Vincent Picard-Mary,Women,Paris,44,66475.79,Medium,"ETF, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Anne Delaunay de la Legendre,Man,Bordeaux,43,67301.53,Medium,"Cryptomonnaies, Obligations, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Yves Leclerc,Man,Lyon,59,114528.07,High,"Startups, Fundraising, Obligations",Retraite,Santé,Mensuel,ETF
Pierre LÃ©ger,Women,Strasbourg,43,55199.37,Medium,Startups,Retraite,Santé,Trimestriel,ETF
Victor Pires-Lebreton,Man,Marseille,34,39729.18,Medium,"Immobilier, Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Juliette Le Aubry,Man,Marseille,50,42959.31,Medium,"Actions, ETF",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Raymond Berger,Women,Paris,40,74777.96,High,"Cryptomonnaies, ETF",Achat immobilier,Finance,Trimestriel,ETF
FrÃ©dÃ©ric Guilbert,Man,Nantes,33,46967.34,Medium,"Actions, Immobilier",Voyages,Immobilier,Trimestriel,Immobilier
Sabine Fabre,Women,Lyon,70,141330.39,High,"Investissement Socialement Responsable, Immobilier, Actions, Obligations",Retraite,Technologie,Mensuel,Actions
Michel Boulanger,Man,Toulouse,30,43093.18,Medium,Actions,épargne de départ,Finance,Trimestriel,ETF
Ã‰lise Roy,Women,Paris,39,78534.95,High,"ETF, Obligations",Achat immobilier,Technologie,Trimestriel,Startups
Suzanne-Maryse Loiseau,Women,Marseille,25,6063.63,Medium,"Fundraising, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
HonorÃ© Denis,Women,Paris,67,130630.59,High,"Actions, ETF, Immobilier",Retraite,Finance,Mensuel,Actions
Gilbert Delaunay,Women,Toulouse,27,25403.06,Medium,"Cryptomonnaies, Actions",épargne de départ,Industrie,Trimestriel,Obligations
Roger de la Bernier,Women,Paris,33,72449.78,High,"Immobilier, Actions, Obligations",épargne de départ,Finance,Trimestriel,Actions
Monique de la Berthelot,Man,Marseille,47,40694.96,Medium,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Santé,Trimestriel,Actions
Alphonse Barbier,Man,Lyon,41,28702.34,Medium,"Immobilier, Actions, Obligations",Retraite,Finance,Trimestriel,ETF
Gilbert Lebreton de la Langlois,Women,Toulouse,31,25482.99,Medium,"Immobilier, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
CÃ©cile Costa,Man,Paris,34,59911.28,High,"Startups, Actions, Obligations",Investir dans l'éducation,Santé,Trimestriel,ETF
Virginie Robert,Man,Nice,35,79530.69,High,Actions,éducation des enfants,Finance,Trimestriel,Actions
Olivie Fournier,Man,Montpellier,48,69393.25,Medium,"Obligations, ETF, Immobilier",éducation des enfants,Finance,Trimestriel,ETF
Astrid Dufour,Man,Paris,67,142950.04,High,"Cryptomonnaies, Obligations",Retraite,Santé,Mensuel,Actions
Lucie Laporte-Lemonnier,Man,Toulouse,43,70147.9,Medium,"Cryptomonnaies, Actions, Immobilier",Retraite,Technologie,Trimestriel,ETF
Adrienne Masse,Women,Lyon,26,31018.61,Medium,"Cryptomonnaies, Obligations, Immobilier",Investir dans l'éducation,Consommation,Trimestriel,Obligations
Hortense Le Brun,Man,Marseille,52,68998.73,Medium,Actions,Retraite,Immobilier,Trimestriel,Immobilier
Colette Antoine Le Rolland,Man,Lille,25,20846.76,Medium,"Cryptomonnaies, Actions, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Jacqueline-Hortense Lefort,Man,Paris,26,45822.9,High,"Startups, Actions, Immobilier, Cryptomonnaies, ETF",Investir dans l'éducation,Immobilier,Annuel,Immobilier
RÃ©my Meyer de la Leleu,Women,Nice,51,74762.75,Medium,"Cryptomonnaies, Obligations",Retraite,Technologie,Trimestriel,ETF
Thibault Turpin,Women,Nice,53,90740.36,Medium,Actions,Retraite,Santé,Trimestriel,ETF
Julien Lopes,Women,Paris,48,48214.13,Medium,Obligations,Retraite,Industrie,Trimestriel,Obligations
Jean Chauvet,Women,Nice,55,40712.93,Medium,"Cryptomonnaies, ETF, Startups",Épargne de sécurité,Industrie,Trimestriel,Obligations
Alexandre Jacob,Man,Lyon,45,148754.26,High,"Cryptomonnaies, Actions, Fundraising, Immobilier",Achat immobilier,Technologie,Mensuel,ETF
FranÃ§oise Morel,Man,Lille,41,49040.49,Medium,"Actions, Matières premières",Retraite,Consommation,Trimestriel,Obligations
SÃ©bastien de la Bonnin,Women,Lyon,25,37585.9,High,"Actions, Startups",Voyages,Immobilier,Annuel,Immobilier
Marcel Perrot,Man,Paris,30,57317.14,High,"Investissement Socialement Responsable, Matières premières, Actions, Immobilier, ETF",Investir dans l'éducation,Finance,Trimestriel,ETF
Auguste LemaÃ®tre,Man,Nice,43,68831.66,Medium,"Actions, Obligations",Achat immobilier,Santé,Trimestriel,ETF
William Maurice,Women,Nantes,48,46850.15,Medium,"Obligations, Matières premières, Immobilier",Retraite,Finance,Trimestriel,ETF
Guillaume Julien,Women,Montpellier,50,27994.27,Medium,"Actions, Obligations",Épargne de sécurité,Industrie,Trimestriel,Obligations
Diane Guichard,Women,Nice,55,67832.05,Medium,"Obligations, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Agathe Pelletier de Gilbert,Women,Paris,25,33703.82,High,"Actions, ETF, Obligations",Investir dans l'éducation,Consommation,Annuel,Obligations
Alfred LefÃ¨vre,Man,Toulouse,33,46430.06,Medium,"ETF, Immobilier",épargne de départ,Santé,Trimestriel,Actions
Arthur Huet,Man,Bordeaux,43,44927.73,Medium,Actions,Retraite,Consommation,Trimestriel,Obligations
Marianne Le Chevallier,Women,Toulouse,49,66845.5,Medium,"Actions, ETF",Achat immobilier,Immobilier,Trimestriel,Immobilier
Jeannine Perez de la Legrand,Women,Bordeaux,36,46072.71,Medium,"Obligations, Actions, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Alix Moreau,Women,Lyon,49,81059.02,Medium,"ETF, Obligations",éducation des enfants,Finance,Trimestriel,ETF
Margaux-Lucie LÃ©vÃªque,Women,Lyon,25,37398.98,High,"Cryptomonnaies, Actions, Immobilier",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Yves de la Leroux,Man,Strasbourg,39,57376.28,Medium,"Immobilier, Actions, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Patricia Collin,Man,Toulouse,33,26635.3,Medium,"Cryptomonnaies, ETF, Fundraising",épargne de départ,Agriculture,Trimestriel,Obligations
Lucas Imbert,Man,Nantes,25,24659.9,Medium,"Actions, Immobilier",Investir dans l'éducation,Industrie,Trimestriel,Obligations
RenÃ© Roger,Man,Nice,27,22499.08,Medium,"Actions, ETF",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Alfred Duhamel,Women,Marseille,31,53399.88,High,"Obligations, Actions, ETF, Immobilier",épargne de départ,Finance,Trimestriel,ETF
Isaac Guillon,Women,Strasbourg,25,31273.05,Medium,"Cryptomonnaies, Actions, Immobilier",épargne de départ,Consommation,Trimestriel,Obligations
Thibault Colas,Man,Paris,34,36602.46,Medium,"Obligations, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Hortense Gallet,Man,Nice,43,101717.22,High,"Actions, ETF, Obligations",Achat immobilier,Technologie,Mensuel,ETF
Ã‰lise du Normand,Women,Paris,66,81990.82,Medium,"Actions, Immobilier",Retraite,Technologie,Trimestriel,ETF
Ã‰douard Chauveau,Women,Montpellier,42,56207.53,Medium,"MatiÃ¨res premiÃ¨res, ETF, Fundraising",éducation des enfants,Santé,Trimestriel,ETF
AmÃ©lie Laine,Man,Nice,28,27507.63,Medium,"Cryptomonnaies, Immobilier",Voyages,Agriculture,Trimestriel,Obligations
Gilbert Hamon,Women,Montpellier,46,64678.61,Medium,ETF,Retraite,Immobilier,Trimestriel,Immobilier
Ã‰ric Legrand,Women,Paris,43,67022.99,Medium,"MatiÃ¨res premiÃ¨res, ETF, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Thomas Martineau-Michel,Women,Montpellier,37,45834.13,Medium,"Actions, Fundraising",éducation des enfants,Santé,Trimestriel,ETF
ThÃ©ophile Leblanc,Women,Paris,46,111462.74,High,"Actions, Startups",Retraite,Finance,Mensuel,Actions
Isaac Carpentier,Women,Nantes,46,69905.97,Medium,"Obligations, ETF, Immobilier",Achat immobilier,Santé,Trimestriel,ETF
Nicolas Schneider,Man,Toulouse,56,76256.61,Medium,"Actions, Obligations",Épargne de sécurité,Consommation,Trimestriel,Obligations
Raymond De Sousa,Man,Montpellier,48,51817.83,Medium,"MatiÃ¨res premiÃ¨res, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Vincent Godard-Charpentier,Man,Lyon,49,122689.73,High,"Startups, Actions, Obligations",Achat immobilier,Technologie,Mensuel,Actions
Dominique Le Couturier,Man,Montpellier,44,42088.81,Medium,"Cryptomonnaies, Matières premières, Actions",éducation des enfants,Finance,Trimestriel,ETF
JÃ©rÃ´me Morin du Paul,Women,Bordeaux,39,24370.75,Medium,"Actions, ETF",Achat immobilier,Agriculture,Trimestriel,Obligations
Marc Blanchard Le Schmitt,Women,Montpellier,36,42672.92,Medium,"Startups, Actions, Obligations",éducation des enfants,Santé,Trimestriel,ETF
Julien Faivre,Man,Toulouse,44,49215.79,Medium,"Immobilier, Actions, Startups",éducation des enfants,Santé,Trimestriel,ETF
HÃ©lÃ¨ne Brunel de la Durand,Women,Paris,56,158217.46,High,"MatiÃ¨res premiÃ¨res, Actions, ETF, Immobilier",Retraite,Technologie,Mensuel,ETF
NoÃ«l Maillot,Man,Lyon,49,121746.93,High,"Immobilier, Actions, ETF, Obligations",éducation des enfants,Technologie,Mensuel,ETF
Diane Cousin,Man,Paris,35,39619.65,Medium,"MatiÃ¨res premiÃ¨res, Obligations",Retraite,Santé,Trimestriel,ETF
AgnÃ¨s Barthelemy,Man,Nantes,29,66218.95,High,"Cryptomonnaies, Actions, Obligations",Investir dans l'éducation,Technologie,Trimestriel,Actions
Daniel Lemoine-Moulin,Man,Paris,45,92799.77,High,"Obligations, Actions, Startups",Retraite,Finance,Mensuel,ETF
Gilbert Gros,Man,Toulouse,62,32325.96,Low,"Cryptomonnaies, Startups",Retraite,Consommation,Annuel,Obligations
Bernadette Meunier,Man,Montpellier,57,64222.83,Medium,"Immobilier, Actions, Obligations",Épargne de sécurité,Finance,Trimestriel,ETF
Marine Lemoine,Man,Paris,25,40590.39,High,"Immobilier, ETF, Obligations",épargne de départ,Immobilier,Annuel,Immobilier
Simone Leroy du Fabre,Women,Paris,61,45198.86,Low,"Cryptomonnaies, Startups",Retraite,Industrie,Annuel,Obligations
Christine Vallet,Women,Toulouse,45,33983.66,Medium,"Cryptomonnaies, ETF",Achat immobilier,Consommation,Trimestriel,Obligations
Charles Julien,Man,Toulouse,59,68881.77,Medium,"Actions, Immobilier",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Zacharie Gillet,Man,Paris,44,69377.77,Medium,"Actions, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Ã‰douard Mathieu,Man,Paris,45,106872.19,High,"Cryptomonnaies, Actions, Matières premières, Immobilier",Retraite,Technologie,Mensuel,Actions
Ã‰lodie Evrard-Leblanc,Women,Lyon,37,67861.99,High,"Cryptomonnaies, Actions, ETF, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
SÃ©bastien FranÃ§ois,Women,Nantes,40,59664.53,Medium,"Immobilier, Obligations",éducation des enfants,Santé,Trimestriel,ETF
AndrÃ©e Morin,Women,Paris,43,41145.79,Medium,"Obligations, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Marthe Charles,Man,Paris,32,5843.11,Medium,"Cryptomonnaies, Matières premières, ETF",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
GÃ©rard Blanchard de la Chauvet,Women,Paris,53,109748.96,High,"Cryptomonnaies, Actions, ETF, Fundraising",Épargne de sécurité,Finance,Mensuel,Actions
Ã‰mile PrÃ©vost,Women,Toulouse,35,41083.12,Medium,"Actions, ETF, Fundraising",éducation des enfants,Immobilier,Trimestriel,Immobilier
Charles Teixeira,Women,Lyon,26,34287.13,High,"Obligations, Investissement Socialement Responsable, Immobilier",épargne de départ,Agriculture,Annuel,Obligations
Maurice Bouvier,Man,Nice,46,104352.76,High,"Cryptomonnaies, Actions, ETF",Retraite,Santé,Mensuel,Actions
Thibault Le Maillet,Women,Lyon,51,95744.43,High,"Cryptomonnaies, Obligations, Actions, Immobilier",Épargne de sécurité,Technologie,Mensuel,Actions
Margaud Boucher de Tanguy,Women,Paris,43,52846.58,Medium,"Immobilier, Fundraising",Retraite,Finance,Trimestriel,ETF
Arnaude Ruiz-Gauthier,Women,Paris,45,111579.08,High,"Startups, Cryptomonnaies, ETF, Immobilier",Achat immobilier,Technologie,Mensuel,ETF
Gabrielle Delmas de la Picard,Women,Paris,64,116866.81,Medium,"ETF, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
StÃ©phane Jourdan,Women,Paris,51,106306.93,High,"Obligations, Matières premières, Actions, Immobilier",Retraite,Santé,Mensuel,ETF
Guillaume Becker,Man,Bordeaux,57,92940.22,Medium,"Investissement Socialement Responsable, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Madeleine Teixeira,Man,Marseille,70,77324.9,Medium,"Immobilier, Actions, Startups",Retraite,Finance,Trimestriel,ETF
