Nom,Genre,Ville,Age,Revenu,Tolérance au Risque,Historique d'Investissement,Objectif Financier,Secteur Préféré,Fréquence d'Investissement,Domaine Recommandé
Jean Lecomte,Femme,Marseille,58,130784.02,Élevé,"Immobilier, ETF, Obligations",Retraite,Finance,Mensuel,ETF
Roland Fontaine,Femme,Toulouse,54,76115.15,Moyen,"Cryptomonnaies, Immobilier",Retraite,Industrie,Trimestriel,Obligations
ValÃ©rie Dufour-Benoit,Femme,Nantes,48,46198.42,Moyen,"Cryptomonnaies, Actions",Retraite,Immobilier,Trimestriel,Immobilier
Thomas Peron,Homme,Paris,64,85898.09,Moyen,"Actions, ETF, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
GeneviÃ¨ve-Ã‰dith Paris,Homme,Lyon,56,110162.68,Élevé,"Cryptomonnaies, Fundraising, Obligations",Épargne de sécurité,Santé,Mensuel,ETF
Laure du Brunel,Femme,Strasbourg,39,71214.78,Élevé,"Cryptomonnaies, Fundraising, Immobilier",éducation des enfants,Santé,Trimestriel,Actions
Sophie-GeneviÃ¨ve Morvan,Homme,Toulouse,70,50806.4,Faible,"Fundraising, Startups",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Nathalie GrÃ©goire,Femme,Paris,51,107730.66,Élevé,"Investissement Socialement Responsable, Actions, ETF",Épargne de sécurité,Santé,Mensuel,Actions
Christophe Martins,Homme,Paris,54,84757.14,Moyen,"Cryptomonnaies, Actions",Retraite,Finance,Trimestriel,ETF
Victor Laroche,Homme,Paris,37,46740.68,Moyen,"MatiÃ¨res premiÃ¨res, Actions, Obligations",Retraite,Industrie,Trimestriel,Obligations
RÃ©my ClÃ©ment-Rossi,Homme,Nice,39,57473.29,Moyen,Actions,éducation des enfants,Immobilier,Trimestriel,Immobilier
Jean Pascal-Marin,Femme,Strasbourg,49,36986.2,Moyen,"Actions, ETF",éducation des enfants,Immobilier,Trimestriel,Immobilier
Nicole-HÃ©lÃ¨ne Bonnin,Femme,Strasbourg,30,45703.08,Élevé,"Actions, Immobilier",Voyages,Finance,Annuel,ETF
StÃ©phane Torres,Homme,Toulouse,40,61719.43,Moyen,ETF,Retraite,Immobilier,Trimestriel,Immobilier
Xavier Gauthier de la Foucher,Femme,Paris,25,48316.9,Élevé,"Startups, Cryptomonnaies, Actions, Immobilier",Voyages,Santé,Annuel,Actions
Antoine Baudry,Homme,Paris,51,56550.15,Moyen,"Immobilier, Actions, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Denis Guillou,Homme,Bordeaux,63,62261.53,Moyen,"Actions, Obligations",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Olivier Perrot,Femme,Paris,40,79640.99,Élevé,"Cryptomonnaies, Fundraising, Immobilier",Retraite,Finance,Trimestriel,Actions
Roland Potier,Femme,Marseille,47,55452.81,Moyen,"Cryptomonnaies, ETF, Immobilier",éducation des enfants,Technologie,Trimestriel,Actions
Henri Millet,Homme,Paris,32,47976.39,Élevé,"Cryptomonnaies, ETF, Immobilier",Voyages,Technologie,Annuel,ETF
Jules Pineau,Femme,Bordeaux,41,70497.71,Élevé,"Immobilier, Cryptomonnaies, Investissement Socialement Responsable, Obligations",Retraite,Santé,Trimestriel,ETF
Thomas-GrÃ©goire Gallet,Femme,Paris,49,104957.33,Élevé,"Immobilier, ETF, Obligations",Achat immobilier,Finance,Mensuel,ETF
Joseph Marin,Homme,Nice,25,49273.86,Élevé,"Actions, Matières premières, ETF, Obligations",Investir dans l'éducation,Technologie,Annuel,ETF
Gabrielle Le Gall,Homme,Lyon,43,49592.25,Moyen,Fundraising,Retraite,Immobilier,Trimestriel,Immobilier
Ã‰mile Toussaint,Homme,Paris,55,136358.46,Élevé,"Cryptomonnaies, Matières premières, ETF",Épargne de sécurité,Finance,Mensuel,ETF
MichÃ¨le Blin du David,Homme,Lyon,51,70825.7,Moyen,"Actions, Obligations",Retraite,Santé,Trimestriel,ETF
Patricia Martinez,Femme,Marseille,40,50484.12,Moyen,"Cryptomonnaies, Obligations, Immobilier",Retraite,Agriculture,Trimestriel,Obligations
Lorraine de la Ferrand,Homme,Paris,25,33919.54,Élevé,"Cryptomonnaies, Actions",épargne de départ,Consommation,Annuel,Obligations
Zacharie Gilbert,Femme,Paris,49,25672.71,Moyen,"Actions, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
SÃ©bastien Renault de Fournier,Homme,Lille,29,37416.84,Moyen,"Actions, Matières premières, Immobilier",épargne de départ,Industrie,Trimestriel,Obligations
CÃ©lina Gros-Valentin,Homme,Lyon,28,53174.5,Élevé,"Obligations, Actions, Fundraising",épargne de départ,Technologie,Trimestriel,ETF
Vincent Picard-Mary,Femme,Paris,44,66475.79,Moyen,"ETF, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Anne Delaunay de la Legendre,Homme,Bordeaux,43,67301.53,Moyen,"Cryptomonnaies, Obligations, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Yves Leclerc,Homme,Lyon,59,114528.07,Élevé,"Startups, Fundraising, Obligations",Retraite,Santé,Mensuel,ETF
Pierre LÃ©ger,Femme,Strasbourg,43,55199.37,Moyen,Startups,Retraite,Santé,Trimestriel,ETF
Victor Pires-Lebreton,Homme,Marseille,34,39729.18,Moyen,"Immobilier, Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Juliette Le Aubry,Homme,Marseille,50,42959.31,Moyen,"Actions, ETF",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Raymond Berger,Femme,Paris,40,74777.96,Élevé,"Cryptomonnaies, ETF",Achat immobilier,Finance,Trimestriel,ETF
FrÃ©dÃ©ric Guilbert,Homme,Nantes,33,46967.34,Moyen,"Actions, Immobilier",Voyages,Immobilier,Trimestriel,Immobilier
Sabine Fabre,Femme,Lyon,70,141330.39,Élevé,"Investissement Socialement Responsable, Immobilier, Actions, Obligations",Retraite,Technologie,Mensuel,Actions
Michel Boulanger,Homme,Toulouse,30,43093.18,Moyen,Actions,épargne de départ,Finance,Trimestriel,ETF
Ã‰lise Roy,Femme,Paris,39,78534.95,Élevé,"ETF, Obligations",Achat immobilier,Technologie,Trimestriel,Startups
Suzanne-Maryse Loiseau,Femme,Marseille,25,6063.63,Moyen,"Fundraising, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
HonorÃ© Denis,Femme,Paris,67,130630.59,Élevé,"Actions, ETF, Immobilier",Retraite,Finance,Mensuel,Actions
Gilbert Delaunay,Femme,Toulouse,27,25403.06,Moyen,"Cryptomonnaies, Actions",épargne de départ,Industrie,Trimestriel,Obligations
Roger de la Bernier,Femme,Paris,33,72449.78,Élevé,"Immobilier, Actions, Obligations",épargne de départ,Finance,Trimestriel,Actions
Monique de la Berthelot,Homme,Marseille,47,40694.96,Moyen,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Santé,Trimestriel,Actions
Alphonse Barbier,Homme,Lyon,41,28702.34,Moyen,"Immobilier, Actions, Obligations",Retraite,Finance,Trimestriel,ETF
Gilbert Lebreton de la Langlois,Femme,Toulouse,31,25482.99,Moyen,"Immobilier, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
CÃ©cile Costa,Homme,Paris,34,59911.28,Élevé,"Startups, Actions, Obligations",Investir dans l'éducation,Santé,Trimestriel,ETF
Virginie Robert,Homme,Nice,35,79530.69,Élevé,Actions,éducation des enfants,Finance,Trimestriel,Actions
Olivie Fournier,Homme,Montpellier,48,69393.25,Moyen,"Obligations, ETF, Immobilier",éducation des enfants,Finance,Trimestriel,ETF
Astrid Dufour,Homme,Paris,67,142950.04,Élevé,"Cryptomonnaies, Obligations",Retraite,Santé,Mensuel,Actions
Lucie Laporte-Lemonnier,Homme,Toulouse,43,70147.9,Moyen,"Cryptomonnaies, Actions, Immobilier",Retraite,Technologie,Trimestriel,ETF
Adrienne Masse,Femme,Lyon,26,31018.61,Moyen,"Cryptomonnaies, Obligations, Immobilier",Investir dans l'éducation,Consommation,Trimestriel,Obligations
Hortense Le Brun,Homme,Marseille,52,68998.73,Moyen,Actions,Retraite,Immobilier,Trimestriel,Immobilier
Colette Antoine Le Rolland,Homme,Lille,25,20846.76,Moyen,"Cryptomonnaies, Actions, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Jacqueline-Hortense Lefort,Homme,Paris,26,45822.9,Élevé,"Startups, Actions, Immobilier, Cryptomonnaies, ETF",Investir dans l'éducation,Immobilier,Annuel,Immobilier
RÃ©my Meyer de la Leleu,Femme,Nice,51,74762.75,Moyen,"Cryptomonnaies, Obligations",Retraite,Technologie,Trimestriel,ETF
Thibault Turpin,Femme,Nice,53,90740.36,Moyen,Actions,Retraite,Santé,Trimestriel,ETF
Julien Lopes,Femme,Paris,48,48214.13,Moyen,Obligations,Retraite,Industrie,Trimestriel,Obligations
Jean Chauvet,Femme,Nice,55,40712.93,Moyen,"Cryptomonnaies, ETF, Startups",Épargne de sécurité,Industrie,Trimestriel,Obligations
Alexandre Jacob,Homme,Lyon,45,148754.26,Élevé,"Cryptomonnaies, Actions, Fundraising, Immobilier",Achat immobilier,Technologie,Mensuel,ETF
FranÃ§oise Morel,Homme,Lille,41,49040.49,Moyen,"Actions, Matières premières",Retraite,Consommation,Trimestriel,Obligations
SÃ©bastien de la Bonnin,Femme,Lyon,25,37585.9,Élevé,"Actions, Startups",Voyages,Immobilier,Annuel,Immobilier
Marcel Perrot,Homme,Paris,30,57317.14,Élevé,"Investissement Socialement Responsable, Matières premières, Actions, Immobilier, ETF",Investir dans l'éducation,Finance,Trimestriel,ETF
Auguste LemaÃ®tre,Homme,Nice,43,68831.66,Moyen,"Actions, Obligations",Achat immobilier,Santé,Trimestriel,ETF
William Maurice,Femme,Nantes,48,46850.15,Moyen,"Obligations, Matières premières, Immobilier",Retraite,Finance,Trimestriel,ETF
Guillaume Julien,Femme,Montpellier,50,27994.27,Moyen,"Actions, Obligations",Épargne de sécurité,Industrie,Trimestriel,Obligations
Diane Guichard,Femme,Nice,55,67832.05,Moyen,"Obligations, Startups",Retraite,Immobilier,Trimestriel,Immobilier
Agathe Pelletier de Gilbert,Femme,Paris,25,33703.82,Élevé,"Actions, ETF, Obligations",Investir dans l'éducation,Consommation,Annuel,Obligations
Alfred LefÃ¨vre,Homme,Toulouse,33,46430.06,Moyen,"ETF, Immobilier",épargne de départ,Santé,Trimestriel,Actions
Arthur Huet,Homme,Bordeaux,43,44927.73,Moyen,Actions,Retraite,Consommation,Trimestriel,Obligations
Marianne Le Chevallier,Femme,Toulouse,49,66845.5,Moyen,"Actions, ETF",Achat immobilier,Immobilier,Trimestriel,Immobilier
Jeannine Perez de la Legrand,Femme,Bordeaux,36,46072.71,Moyen,"Obligations, Actions, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Alix Moreau,Femme,Lyon,49,81059.02,Moyen,"ETF, Obligations",éducation des enfants,Finance,Trimestriel,ETF
Margaux-Lucie LÃ©vÃªque,Femme,Lyon,25,37398.98,Élevé,"Cryptomonnaies, Actions, Immobilier",Investir dans l'éducation,Immobilier,Annuel,Immobilier
Yves de la Leroux,Homme,Strasbourg,39,57376.28,Moyen,"Immobilier, Actions, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Patricia Collin,Homme,Toulouse,33,26635.3,Moyen,"Cryptomonnaies, ETF, Fundraising",épargne de départ,Agriculture,Trimestriel,Obligations
Lucas Imbert,Homme,Nantes,25,24659.9,Moyen,"Actions, Immobilier",Investir dans l'éducation,Industrie,Trimestriel,Obligations
RenÃ© Roger,Homme,Nice,27,22499.08,Moyen,"Actions, ETF",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Alfred Duhamel,Femme,Marseille,31,53399.88,Élevé,"Obligations, Actions, ETF, Immobilier",épargne de départ,Finance,Trimestriel,ETF
Isaac Guillon,Femme,Strasbourg,25,31273.05,Moyen,"Cryptomonnaies, Actions, Immobilier",épargne de départ,Consommation,Trimestriel,Obligations
Thibault Colas,Homme,Paris,34,36602.46,Moyen,"Obligations, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Hortense Gallet,Homme,Nice,43,101717.22,Élevé,"Actions, ETF, Obligations",Achat immobilier,Technologie,Mensuel,ETF
Ã‰lise du Normand,Femme,Paris,66,81990.82,Moyen,"Actions, Immobilier",Retraite,Technologie,Trimestriel,ETF
Ã‰douard Chauveau,Femme,Montpellier,42,56207.53,Moyen,"MatiÃ¨res premiÃ¨res, ETF, Fundraising",éducation des enfants,Santé,Trimestriel,ETF
AmÃ©lie Laine,Homme,Nice,28,27507.63,Moyen,"Cryptomonnaies, Immobilier",Voyages,Agriculture,Trimestriel,Obligations
Gilbert Hamon,Femme,Montpellier,46,64678.61,Moyen,ETF,Retraite,Immobilier,Trimestriel,Immobilier
Ã‰ric Legrand,Femme,Paris,43,67022.99,Moyen,"MatiÃ¨res premiÃ¨res, ETF, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Thomas Martineau-Michel,Femme,Montpellier,37,45834.13,Moyen,"Actions, Fundraising",éducation des enfants,Santé,Trimestriel,ETF
ThÃ©ophile Leblanc,Femme,Paris,46,111462.74,Élevé,"Actions, Startups",Retraite,Finance,Mensuel,Actions
Isaac Carpentier,Femme,Nantes,46,69905.97,Moyen,"Obligations, ETF, Immobilier",Achat immobilier,Santé,Trimestriel,ETF
Nicolas Schneider,Homme,Toulouse,56,76256.61,Moyen,"Actions, Obligations",Épargne de sécurité,Consommation,Trimestriel,Obligations
Raymond De Sousa,Homme,Montpellier,48,51817.83,Moyen,"MatiÃ¨res premiÃ¨res, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Vincent Godard-Charpentier,Homme,Lyon,49,122689.73,Élevé,"Startups, Actions, Obligations",Achat immobilier,Technologie,Mensuel,Actions
Dominique Le Couturier,Homme,Montpellier,44,42088.81,Moyen,"Cryptomonnaies, Matières premières, Actions",éducation des enfants,Finance,Trimestriel,ETF
JÃ©rÃ´me Morin du Paul,Femme,Bordeaux,39,24370.75,Moyen,"Actions, ETF",Achat immobilier,Agriculture,Trimestriel,Obligations
Marc Blanchard Le Schmitt,Femme,Montpellier,36,42672.92,Moyen,"Startups, Actions, Obligations",éducation des enfants,Santé,Trimestriel,ETF
Julien Faivre,Homme,Toulouse,44,49215.79,Moyen,"Immobilier, Actions, Startups",éducation des enfants,Santé,Trimestriel,ETF
HÃ©lÃ¨ne Brunel de la Durand,Femme,Paris,56,158217.46,Élevé,"MatiÃ¨res premiÃ¨res, Actions, ETF, Immobilier",Retraite,Technologie,Mensuel,ETF
NoÃ«l Maillot,Homme,Lyon,49,121746.93,Élevé,"Immobilier, Actions, ETF, Obligations",éducation des enfants,Technologie,Mensuel,ETF
Diane Cousin,Homme,Paris,35,39619.65,Moyen,"MatiÃ¨res premiÃ¨res, Obligations",Retraite,Santé,Trimestriel,ETF
AgnÃ¨s Barthelemy,Homme,Nantes,29,66218.95,Élevé,"Cryptomonnaies, Actions, Obligations",Investir dans l'éducation,Technologie,Trimestriel,Actions
Daniel Lemoine-Moulin,Homme,Paris,45,92799.77,Élevé,"Obligations, Actions, Startups",Retraite,Finance,Mensuel,ETF
Gilbert Gros,Homme,Toulouse,62,32325.96,Faible,"Cryptomonnaies, Startups",Retraite,Consommation,Annuel,Obligations
Bernadette Meunier,Homme,Montpellier,57,64222.83,Moyen,"Immobilier, Actions, Obligations",Épargne de sécurité,Finance,Trimestriel,ETF
Marine Lemoine,Homme,Paris,25,40590.39,Élevé,"Immobilier, ETF, Obligations",épargne de départ,Immobilier,Annuel,Immobilier
Simone Leroy du Fabre,Femme,Paris,61,45198.86,Faible,"Cryptomonnaies, Startups",Retraite,Industrie,Annuel,Obligations
Christine Vallet,Femme,Toulouse,45,33983.66,Moyen,"Cryptomonnaies, ETF",Achat immobilier,Consommation,Trimestriel,Obligations
Charles Julien,Homme,Toulouse,59,68881.77,Moyen,"Actions, Immobilier",Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Zacharie Gillet,Homme,Paris,44,69377.77,Moyen,"Actions, Immobilier",Achat immobilier,Immobilier,Trimestriel,Immobilier
Ã‰douard Mathieu,Homme,Paris,45,106872.19,Élevé,"Cryptomonnaies, Actions, Matières premières, Immobilier",Retraite,Technologie,Mensuel,Actions
Ã‰lodie Evrard-Leblanc,Femme,Lyon,37,67861.99,Élevé,"Cryptomonnaies, Actions, ETF, Immobilier",Achat immobilier,Technologie,Trimestriel,ETF
SÃ©bastien FranÃ§ois,Femme,Nantes,40,59664.53,Moyen,"Immobilier, Obligations",éducation des enfants,Santé,Trimestriel,ETF
AndrÃ©e Morin,Femme,Paris,43,41145.79,Moyen,"Obligations, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
Marthe Charles,Homme,Paris,32,5843.11,Moyen,"Cryptomonnaies, Matières premières, ETF",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
GÃ©rard Blanchard de la Chauvet,Femme,Paris,53,109748.96,Élevé,"Cryptomonnaies, Actions, ETF, Fundraising",Épargne de sécurité,Finance,Mensuel,Actions
Ã‰mile PrÃ©vost,Femme,Toulouse,35,41083.12,Moyen,"Actions, ETF, Fundraising",éducation des enfants,Immobilier,Trimestriel,Immobilier
Charles Teixeira,Femme,Lyon,26,34287.13,Élevé,"Obligations, Investissement Socialement Responsable, Immobilier",épargne de départ,Agriculture,Annuel,Obligations
